"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"PRC096666,A,5,IQ Protocol for Pre-Heat Oven E19578 , Coating modifier scale E20258","IQ Protocol for Pre-Heat Oven E19578 , Coating modifier scale E20258","Protocol Equipment Install Qual","A","Protocol","Released"," ","NO","08/12/2020 17:49:46:017","Release"
"PRC096669,A,6,IQ Protocol for Curing Oven w/Truck E19582 MaxID:ES2904","IQ Protocol for Curing Oven w/Truck E19582 MaxID:ES2904","Protocol Equipment Install Qual","A","Protocol","Released"," ","NO","08/12/2020 13:39:56:642","Release"
"SPE003860,C,3,0312M Megadyne Product Master Data Specification","0312M Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/11/2020 07:58:42:830","Release"
"SPE003860,A,2,0312M Megadyne Product Master Data Specification","0312M Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/11/2020 07:58:41:549","Release"
"SPE003860,B,2,0312M Megadyne Product Master Data Specification","0312M Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/11/2020 07:58:41:237","Release"
"PRC097117,A,3,E20291 PTFE Refrigeration Station  Software Validation","E20291 PTFE Refrigeration Station  Software Validation","Protocol Software Validation","A","Protocol","Released"," ","NO","08/10/2020 10:50:33:215","Release"
"DR000815,A,2,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","07/23/2020 09:18:15:005","Release"
"SCN076150,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-031)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-031)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","06/18/2020 16:49:59:194","Release"





